Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
39827326,The Hymnal: A Reading History,Christopher N. Phillips,"Phillips, Christopher N.",,"=""1421425920""","=""9781421425924""",0,3.73,Johns Hopkins University Press,Hardcover,272,2018,,,2021/06/19,to-read,to-read (#104),to-read,,,,0,0
30653783,"Smart Baseball: The Story Behind the Old Stats That Are Ruining the Game, the New Ones That Are Running It, and the Right Way to Think About Baseball",Keith Law,"Law, Keith",,"=""0062490222""","=""9780062490223""",3,3.96,Harper Collins,Hardcover,304,2017,2017,2021/06/12,2019/12/23,,,read,,,,1,0
6162317,Festal Orations,Gregory of Nazianzus,"Nazianzus, Gregory of",Nonna Verna Harrison,"=""0881413259""","=""9780881413250""",4,4.51,St Vladimirs Seminary Pr,Paperback,194,2008,2008,2021/06/06,2021/05/14,,,read,,,,1,0
54483293,Purgatory Mount,Adam Roberts,"Roberts, Adam",,"=""1473230942""","=""9781473230941""",0,3.45,Gollancz,Hardcover,320,2021,2021,,2021/06/06,to-read,to-read (#103),to-read,,,,0,0
825944,The Power of Babel,John McWhorter,"McWhorter, John",,"=""0716744732""","=""9780716744733""",4,4.00,W. H. Freeman,Hardcover,336,2002,2001,2021/05/29,2016/12/01,,,read,,,,1,0
15956705,A Young Doctor's Notebook,Mikhail Bulgakov,"Bulgakov, Mikhail",Hugh Aplin,"=""184749286X""","=""9781847492869""",4,4.29,Alma Classics,Paperback,161,2021,1925,2021/05/28,2016/03/15,,,read,,,,1,0
54870216,How Lucky,Will Leitch,"Leitch, Will",,"=""0063073099""","=""9780063073098""",3,3.77,Harper,Hardcover,290,2021,2021,2021/05/25,2021/05/23,,,read,,,,1,0
54120408,Klara and the Sun,Kazuo Ishiguro,"Ishiguro, Kazuo",,"=""059331817X""","=""9780593318171""",0,3.74,Alfred A. Knopf,Hardcover,303,2021,2021,,2021/05/24,to-read,to-read (#102),to-read,,,,0,0
24726,Water Music,T. Coraghessan Boyle,"Boyle, T. Coraghessan",James R. Kincaid,"=""0140065504""","=""9780140065503""",2,4.19,Penguin Books,Paperback,437,2006,1981,2021/05/22,2016/11/05,,,read,,,,1,0
843764,America's Constitution: A Biography,Akhil Reed Amar,"Amar, Akhil Reed",,"=""1400062624""","=""9781400062621""",0,4.25,Random House,Hardcover,657,2005,2005,,2021/05/18,to-read,to-read (#101),to-read,,,,0,0
